# velocity_relative_to_systemic_km_s T_mb_K
-16.341983821429000 -3.16874310374260e-02
-16.176825311220998 4.84359171241520e-03
-16.011666801013099 -1.46662443876270e-03
-15.846508290804898 -9.55238193273540e-03
-15.681349780596801 -2.90834717452530e-03
-15.516191270388699 -1.08522698283200e-02
-15.351032760180498 -6.75677321851250e-03
-15.185874249972400 -4.24812622368340e-02
-15.020715739764299 1.33740268647670e-02
-14.855557229556101 7.79252126812930e-03
-14.690398719348000 5.56796602904800e-03
-14.525240209139898 2.22734715789560e-02
-14.360081698931801 1.65272150188680e-02
-14.194923188723600 7.02165253460410e-03
-14.029764678515500 -2.42292359471320e-02
-13.864606168307400 1.90733708441260e-02
-13.699447658099199 -1.95939056575300e-02
-13.534289147891100 2.24790628999470e-02
-13.369130637683000 1.47637473419310e-02
-13.203972127474799 1.85214336961510e-02
-13.038813617266701 5.56747429072860e-03
-12.873655107058600 -2.13459916412830e-02
-12.708496596850500 3.15775237977500e-02
-12.543338086642301 2.97288112342360e-02
-12.378179576434199 3.06073650717740e-02
-12.213021066226100 7.81505648046730e-03
-12.047862556017900 8.59942380338910e-03
-11.882704045809799 -5.20815048366790e-03
-11.717545535601701 1.66610814630990e-02
-11.552387025393500 4.51155006885530e-02
-11.387228515185399 -4.01834212243560e-03
-11.222070004977301 5.60654234141110e-03
-11.056911494769199 1.26441568136220e-02
-10.891752984561000 5.27923041954640e-03
-10.726594474352900 -6.16599991917610e-03
-10.561435964144799 6.99926726520060e-03
-10.396277453936600 4.78186551481490e-03
-10.231118943728500 -1.29487868398430e-02
-10.065960433520399 -8.69780033826830e-03
-9.900801923312200 1.84615794569250e-02
-9.735643413104100 1.10228843986990e-02
-9.570484902896000 6.58444687724110e-03
-9.405326392687900 -6.19718665257100e-03
-9.240167882479700 -1.08625246211890e-02
-9.075009372271600 -3.72288487851620e-02
-8.909850862063500 -3.41270416975020e-02
-8.744692351855299 -6.07960745692250e-02
-8.579533841647200 -2.33989041298630e-02
-8.414375331439100 1.39500945806500e-03
-8.249216821230899 1.14339068531990e-02
-8.084058311022799 7.84660410135980e-03
-7.918899800814700 -3.30837070941930e-03
-7.753741290606600 -9.09354537725450e-03
-7.588582780398400 -2.64214724302290e-03
-7.423424270190299 4.65733259916310e-02
-7.258265759982200 9.46111381053920e-01
-7.093107249774000 1.07306730747220e+00
-6.927948739565910 5.30258953571320e-01
-6.762790229357780 6.05001859366890e-02
-6.597631719149650 1.74044687300920e-02
-6.432473208941520 -1.49357849732040e-02
-6.267314698733390 1.04144662618640e-02
-6.102156188525258 8.28215107321740e-03
-5.936997678317129 -1.95804573595520e-02
-5.771839168109000 -4.88456524908540e-03
-5.606680657900870 1.34482979774480e-05
-5.441522147692740 -1.06892753392460e-02
-5.276363637484610 -9.01754014194010e-03
-5.111205127276480 -3.87884676456450e-03
-4.946046617068400 -9.05126146972180e-03
-4.780888106860200 -9.49921086430550e-04
-4.615729596652100 1.02000534534450e-02
-4.450571086444000 2.97858994454150e-02
-4.285412576235800 1.84797719120980e-02
-4.120254066027700 -6.80647790431980e-05
-3.955095555819600 -3.37781496346000e-02
-3.789937045611400 2.05584689974780e-02
-3.624778535403300 6.17963448166850e-03
-3.459620025195200 4.21295687556270e-03
-3.294461514987100 -1.87274962663650e-02
-3.129303004778900 -6.31299428641800e-03
-2.964144494570800 -1.51638574898240e-02
-2.798985984362700 -3.14119830727580e-03
-2.633827474154500 4.06391918659210e-03
-2.468668963946400 4.32096049189570e-02
-2.303510453738300 2.34087370336060e-02
-2.138351943530100 -6.12149760127070e-03
-1.973193433322000 9.60805267095570e-03
-1.808034923113900 -1.65732670575380e-02
-1.642876412905800 -7.81673938035960e-03
-1.477717902697600 7.34954699873920e-03
-1.312559392489500 9.33812558650970e-03
-1.147400882281400 2.39150151610370e-02
-0.982242372073200 1.54862627387050e-02
-0.817083861865100 8.41743871569630e-03
-0.651925351657000 5.96582889556880e-04
-0.486766841448800 1.26883983612060e-02
-0.321608331240700 4.63160932064060e-01
-0.156449821032600 2.67650508880620e+00
0.008708689175500 9.63312685489650e-01
0.173867199383700 3.60689640045170e-01
0.339025709591800 1.22436843812470e-01
0.504184219799900 2.96632871031760e-02
0.669342730008101 -1.32517889142040e-03
0.834501240216200 4.15749549865720e-02
0.999659750424300 4.44526523351670e-02
1.164818260632500 2.10610106587410e-02
1.329976770840601 -1.22050885111090e-02
1.495135281048700 1.15058198571210e-03
1.660293791256800 7.09846243262290e-03
1.825452301465000 -1.88752673566340e-02
1.990610811673100 -8.54269415140150e-03
2.155769321881199 -2.60932352393870e-02
2.320927832089400 -8.65180045366290e-03
2.486086342297500 2.67412886023520e-03
2.651244852505600 -3.41178663074970e-03
2.816403362713801 1.38257443904880e-02
2.981561872921900 -1.57794617116450e-02
3.146720383130000 -6.22785091400150e-03
3.311878893338100 -5.30004315078260e-03
3.477037403546301 -1.76047608256340e-02
3.642195913754400 -1.14997997879980e-02
3.807354423962500 2.08563078194860e-02
3.972512934171001 -8.80485028028490e-03
4.137671444378999 -1.00271441042420e-02
4.302829954587000 -1.70180108398200e-02
4.467988464795000 6.65953457355500e-02
4.633146975003000 1.01071965694430e+00
4.798305485211000 9.40399289131160e-01
4.963463995419001 3.11001569032670e-01
5.128622505628001 1.16345509886740e-01
5.293781015836001 2.48979777097700e-02
5.458939526043999 -1.35744679719210e-02
5.624098036252000 -3.98867949843410e-03
5.789256546460000 9.00941342115400e-03
5.954415056668000 7.97937810420990e-03
6.119573566876000 -2.63719633221630e-02
6.284732077084001 -6.10533170402050e-03
6.449890587293001 -8.81368946284060e-03
6.615049097501001 -5.62614854425190e-03
6.780207607708999 -3.31669822335240e-02
6.945366117917000 -1.35145019739870e-02
7.110524628125000 -2.10374407470230e-02
7.275683138333000 3.29469516873360e-03
7.440841648541000 1.89842991530900e-02
7.606000158750001 -5.80936390906570e-03
7.771158668958001 2.32264026999470e-02
7.936317179166001 3.25890071690080e-03
8.101475689373999 1.42174279317260e-02
8.266634199582001 1.58321708440780e-02
8.431792709789999 -2.37881508655850e-03
8.596951219998001 9.18852165341380e-04
8.762109730205999 7.05956202000380e-03
8.927268240415000 1.14338751882310e-02
9.092426750623002 4.09616008400920e-02
9.257585260831000 3.28808650374410e-02
9.422743771038999 5.25510776788000e-03
9.587902281247001 7.45609868317840e-03
9.753060791454999 -1.26999057829380e-02
9.918219301663001 6.24088104814290e-03
10.083377811870999 2.01511196792130e-02
10.248536322080000 -1.69092323631050e-02
10.413694832287998 1.58771760761740e-02
10.578853342496000 4.74297348409890e-03
10.744011852703998 6.00848207250240e-03
10.909170362912000 3.80927100777630e-02
11.074328873119999 -1.58863398246470e-03
11.239487383328001 1.73842068761590e-02
11.404645893536998 -3.06684523820880e-02
11.569804403745000 -1.63329672068360e-03
11.734962913952998 -1.02831823751330e-02
